,Positivo/Negativo,Name,Month,Last,Chg.%
0,,Dow Jones,Sep 23,"35,432.00",+0.08%
1,,Dow Jones,Sep 23,"35,432.00",+0.08%
2,,Dow Jones,Sep 23,"35,432.00",+0.08%
3,,Dow Jones,Sep 23,"35,432.00",+0.08%
4,,Dow Jones,Sep 23,"35,432.00",+0.08%
5,,S&P 500,Sep 23,"4,539.00",+0.04%
6,,S&P 500,Sep 23,"4,539.00",+0.04%
7,,S&P 500,Sep 23,"4,539.00",+0.04%
8,,S&P 500,Sep 23,"4,539.00",+0.04%
9,,S&P 500,Sep 23,"4,539.00",+0.04%
10,,Nasdaq 100,Sep 23,"15,471.50",-0.01%
11,,Nasdaq 100,Sep 23,"15,471.50",-0.01%
12,,Nasdaq 100,Sep 23,"15,471.50",-0.01%
13,,Nasdaq 100,Sep 23,"15,471.50",-0.01%
14,,Nasdaq 100,Sep 23,"15,471.50",-0.01%
15,,S&P 500 VIX,Aug 23,16.80,+0.59%
16,,S&P 500 VIX,Aug 23,16.80,+0.59%
17,,S&P 500 VIX,Aug 23,16.80,+0.59%
18,,S&P 500 VIX,Aug 23,16.80,+0.59%
19,,S&P 500 VIX,Aug 23,16.80,+0.59%
20,,DAX,Sep 23,"16,082.8",+0.11%
21,,DAX,Sep 23,"16,082.8",+0.11%
22,,DAX,Sep 23,"16,082.8",+0.11%
23,,DAX,Sep 23,"16,082.8",+0.11%
24,,DAX,Sep 23,"16,082.8",+0.11%
25,,Nikkei 225,Sep 23,"32,285.0",+0.10%
26,,Nikkei 225,Sep 23,"32,285.0",+0.10%
27,,Nikkei 225,Sep 23,"32,285.0",+0.10%
28,,Nikkei 225,Sep 23,"32,285.0",+0.10%
29,,Nikkei 225,Sep 23,"32,285.0",+0.10%
